order_id,transaction_id,product_name,category,sub_category,quantity_ordered,unit_price,total_sales,cost,order_date,purchase_address,address_city,sales_channel,customer_segment,region,payment_type,delivery_time_days,sales_rep,data_quality_flag
30,T30,Logitech Mouse,Electronics,Accessories,2,887.0,1774.0,1268.11,2023-04-11 00:07:00,"620 Street, Jakarta",Jakarta,Online,Consumer,Europe,Card,4.0,Rep_C,
31,T31,MacBook Air,Electronics,Laptops,4,1423.0,5692.0,4297.3,2023-11-04 15:12:00,"106 Street, Cairo",Cairo,Wholesale,Corporate,Africa,Transfer,1.0,Rep_D,
32,T32,iPhone 13,Electronics,Phones,3,1677.0,5031.0,3020.33,2023-04-27 22:08:00,"641 Street, São Paulo",São Paulo,In-Store,Corporate,Africa,Card,1.0,Rep_A,
33,T33,AirPods Pro,Electronics,Accessories,1,537.0,537.0,405.6,2023-07-08 06:04:00,"247 Street, Bangkok",Bangkok,In-Store,Corporate,Africa,Cash,,Rep_A,
34,T34,AirPods Pro,Electronics,Accessories,3,1046.0,3138.0,1998.13,2023-08-08 04:46:00,"750 Street, São Paulo",São Paulo,Wholesale,Corporate,Europe,Transfer,5.0,Rep_B,
35,T35,Logitech Mouse,Electronics,Accessories,2,523.0,1046.0,721.1,2023-10-16 04:22:00,"758 Street, São Paulo",São Paulo,In-Store,Corporate,South America,Cash,2.0,Rep_D,
36,T36,AirPods Pro,Electronics,Accessories,2,811.0,1622.0,1136.07,2023-11-21 12:03:00,"336 Street, São Paulo",São Paulo,Wholesale,Corporate,Europe,Transfer,1.0,Rep_C,
37,T37,MacBook Air,Electronics,Laptops,3,901.0,2703.0,1771.19,2023-02-02 00:50:00,"268 Street, Bangkok",Bangkok,In-Store,Consumer,South America,Card,1.0,Rep_B,
38,T38,Logitech Mouse,Electronics,Accessories,3,1629.0,4887.0,2862.98,2023-10-29 01:50:00,"727 Street, São Paulo",São Paulo,In-Store,Corporate,Africa,Transfer,,Rep_C,
40,T40,MacBook Air,Electronics,Laptops,5,1070.0,5350.0,3054.72,2023-07-11 02:48:00,"548 Street, Jakarta",Jakarta,Online,Corporate,South America,Cash,7.0,Rep_D,
41,T41,Dell XPS 13,Electronics,Laptops,5,1853.0,9265.0,7415.23,2023-08-05 02:40:00,"881 Street, Cairo",Cairo,Online,Corporate,Europe,Transfer,9.0,Rep_D,
42,T42,Dell XPS 13,Electronics,Laptops,3,1092.0,3276.0,1652.2,2023-08-21 18:11:00,"796 Street, Bangkok",Bangkok,Wholesale,Small Business,Europe,Transfer,4.0,Rep_C,
43,T43,27in 4K Gaming Monitor,Electronics,Monitors,5,1142.0,5710.0,3605.67,2023-02-22 22:15:00,"109 Street, Jakarta",Jakarta,Wholesale,Consumer,Europe,Transfer,7.0,Rep_C,
44,T44,Logitech Mouse,Electronics,Accessories,2,1206.0,2412.0,1732.7,2023-11-27 17:46:00,"74 Street, Lagos",Lagos,Wholesale,Small Business,South America,Card,1.0,Rep_B,
45,T45,iPhone 13,Electronics,Phones,5,1241.0,6205.0,5142.36,2023-05-02 01:04:00,"422 Street, Cairo",Cairo,In-Store,Consumer,South America,Card,1.0,Rep_A,
46,T46,iPhone 13,Electronics,Phones,1,560.0,560.0,412.58,2023-10-19 05:59:00,"445 Street, Mumbai",Mumbai,Wholesale,Small Business,Europe,Card,7.0,Rep_A,
47,T47,AirPods Pro,Electronics,Accessories,2,1604.0,3208.0,2236.14,2023-05-21 17:27:00,"660 Street, São Paulo",São Paulo,Online,Corporate,Asia,Transfer,9.0,Rep_D,
48,T48,Samsung Galaxy S21,Electronics,Phones,3,397.0,1191.0,774.09,2023-11-08 00:37:00,"58 Street, Jakarta",Jakarta,In-Store,Small Business,Asia,Transfer,,Rep_C,
49,T49,AirPods Pro,Electronics,Accessories,5,864.0,4320.0,3071.87,2023-07-22 04:35:00,"532 Street, Nairobi",Nairobi,Wholesale,Corporate,Africa,Cash,,Rep_C,
50,T50,MacBook Air,Electronics,Laptops,1,1599.0,1599.0,1436.43,2023-02-23 21:02:00,"953 Street, São Paulo",São Paulo,Wholesale,Small Business,Asia,Card,8.0,Rep_B,
51,T51,Logitech Mouse,Electronics,Accessories,4,422.0,1688.0,971.02,2023-03-31 07:57:00,"540 Street, Bangkok",Bangkok,Wholesale,Consumer,Africa,Transfer,,Rep_A,
53,T53,AirPods Pro,Electronics,Accessories,5,1888.0,9440.0,5032.46,2023-10-13 17:58:00,"119 Street, São Paulo",São Paulo,Online,Corporate,South America,Transfer,6.0,Rep_C,
54,T54,Logitech Mouse,Electronics,Accessories,1,1852.0,1852.0,1208.16,2023-12-08 16:12:00,"105 Street, Lagos",Lagos,In-Store,Small Business,South America,Transfer,1.0,Rep_C,
55,T55,Samsung Galaxy S21,Electronics,Phones,4,758.0,3032.0,2724.72,2023-01-23 04:52:00,"458 Street, Nairobi",Nairobi,Wholesale,Corporate,South America,Transfer,5.0,Rep_A,
56,T56,Dell XPS 13,Electronics,Laptops,1,100.0,100.0,58.29,2023-10-15 01:27:00,"551 Street, Lagos",Lagos,In-Store,Small Business,Asia,Transfer,2.0,Rep_B,
57,T57,iPhone 13,Electronics,Phones,3,1964.0,5892.0,4870.06,2023-08-24 04:29:00,"825 Street, Nairobi",Nairobi,Online,Corporate,Asia,Card,7.0,Rep_D,
58,T58,MacBook Air,Electronics,Laptops,5,1983.0,9915.0,5802.12,2023-07-11 01:37:00,"850 Street, São Paulo",São Paulo,Online,Consumer,Europe,Cash,3.0,Rep_B,
59,T59,Samsung Galaxy S21,Electronics,Phones,4,298.0,1192.0,969.65,2023-01-30 22:41:00,"133 Street, Bangkok",Bangkok,Wholesale,Small Business,Asia,Transfer,8.0,Rep_D,
60,T60,AirPods Pro,Electronics,Accessories,1,1581.0,1581.0,819.5,2023-09-19 20:01:00,"747 Street, Bangkok",Bangkok,Online,Corporate,Africa,Transfer,3.0,Rep_D,
61,T61,Dell XPS 13,Electronics,Laptops,3,1447.0,4341.0,2483.17,2023-07-03 02:31:00,"93 Street, Nairobi",Nairobi,Wholesale,Small Business,Africa,Card,3.0,Rep_B,
62,T62,AirPods Pro,Electronics,Accessories,5,1539.0,7695.0,4392.34,2023-11-22 00:04:00,"346 Street, Cairo",Cairo,Wholesale,Small Business,Asia,Card,1.0,Rep_D,
64,T64,AirPods Pro,Electronics,Accessories,1,57.0,57.0,32.71,2023-07-26 14:55:00,"474 Street, São Paulo",São Paulo,Wholesale,Small Business,Africa,Transfer,8.0,Rep_A,
65,T65,Dell XPS 13,Electronics,Laptops,2,575.0,1150.0,636.23,2023-01-03 14:22:00,"751 Street, Jakarta",Jakarta,Wholesale,Small Business,Africa,Transfer,,Rep_C,
66,T66,MacBook Air,Electronics,Laptops,3,1956.0,5868.0,3565.97,2023-01-28 09:38:00,"231 Street, Bangkok",Bangkok,Wholesale,Small Business,Africa,Transfer,,Rep_B,
67,T67,Samsung Galaxy S21,Electronics,Phones,1,194.0,194.0,133.78,2023-03-08 08:44:00,"228 Street, Cairo",Cairo,Wholesale,Consumer,Europe,Transfer,2.0,Rep_B,
68,T68,AirPods Pro,Electronics,Accessories,1,797.0,797.0,488.97,2023-01-06 19:25:00,"443 Street, São Paulo",São Paulo,Online,Small Business,South America,Transfer,6.0,Rep_C,
69,T69,Logitech Mouse,Electronics,Accessories,1,1510.0,1510.0,847.33,2023-04-22 03:29:00,"830 Street, Nairobi",Nairobi,In-Store,Small Business,South America,Card,8.0,Rep_C,
71,T71,27in 4K Gaming Monitor,Electronics,Monitors,3,623.0,1869.0,1350.74,2023-01-26 18:44:00,"326 Street, São Paulo",São Paulo,Wholesale,Small Business,Africa,Card,4.0,Rep_D,
72,T72,AirPods Pro,Electronics,Accessories,1,581.0,581.0,317.19,2023-03-31 13:37:00,"139 Street, Jakarta",Jakarta,In-Store,Consumer,Africa,Card,3.0,Rep_D,
73,T73,27in 4K Gaming Monitor,Electronics,Monitors,2,59.0,118.0,84.91,2023-01-13 07:01:00,"319 Street, São Paulo",São Paulo,In-Store,Corporate,Europe,Transfer,1.0,Rep_A,
74,T74,MacBook Air,Electronics,Laptops,3,1679.0,5037.0,4232.55,2023-08-24 17:13:00,"459 Street, Cairo",Cairo,Online,Corporate,Africa,Cash,3.0,Rep_A,
75,T75,27in 4K Gaming Monitor,Electronics,Monitors,4,1905.0,7620.0,6333.56,2023-08-17 13:59:00,"725 Street, Mumbai",Mumbai,Wholesale,Consumer,Asia,Transfer,3.0,Rep_A,
76,T76,Samsung Galaxy S21,Electronics,Phones,2,623.0,1246.0,1060.2,2023-03-30 17:39:00,"616 Street, Mumbai",Mumbai,Online,Small Business,South America,Card,3.0,Rep_B,
77,T77,iPhone 13,Electronics,Phones,1,1096.0,1096.0,801.17,2023-05-25 00:46:00,"974 Street, Bangkok",Bangkok,Wholesale,Small Business,Europe,Card,,Rep_B,
78,T78,27in 4K Gaming Monitor,Electronics,Monitors,3,247.0,741.0,556.55,2023-02-11 19:14:00,"289 Street, Jakarta",Jakarta,In-Store,Consumer,Africa,Cash,7.0,Rep_A,
79,T79,Logitech Mouse,Electronics,Accessories,5,599.0,2995.0,2344.46,2023-10-16 03:21:00,"517 Street, São Paulo",São Paulo,Online,Small Business,Africa,Cash,1.0,Rep_D,
80,T80,Logitech Mouse,Electronics,Accessories,5,1232.0,6160.0,4206.05,2023-07-03 14:28:00,"157 Street, Mumbai",Mumbai,Wholesale,Small Business,Asia,Transfer,2.0,Rep_C,
81,T81,MacBook Air,Electronics,Laptops,3,804.0,2412.0,1896.97,2023-10-10 04:19:00,"842 Street, Nairobi",Nairobi,In-Store,Corporate,Asia,Cash,6.0,Rep_A,
82,T82,27in 4K Gaming Monitor,Electronics,Monitors,2,351.0,702.0,607.05,2023-04-14 17:24:00,"616 Street, Cairo",Cairo,Wholesale,Corporate,South America,Transfer,4.0,Rep_C,
84,T84,AirPods Pro,Electronics,Accessories,1,863.0,863.0,488.64,2023-07-01 22:56:00,"950 Street, Mumbai",Mumbai,Wholesale,Corporate,Africa,Transfer,8.0,Rep_C,
85,T85,Dell XPS 13,Electronics,Laptops,1,1382.0,1382.0,1134.82,2023-04-27 08:34:00,"537 Street, Nairobi",Nairobi,Online,Consumer,Africa,Transfer,6.0,Rep_A,
86,T86,AirPods Pro,Electronics,Accessories,2,524.0,1048.0,713.57,2023-12-30 18:53:00,"967 Street, Cairo",Cairo,Wholesale,Small Business,Africa,Card,5.0,Rep_B,
87,T87,27in 4K Gaming Monitor,Electronics,Monitors,1,334.0,334.0,251.47,2023-06-05 17:20:00,"849 Street, Jakarta",Jakarta,Wholesale,Small Business,Africa,Cash,1.0,Rep_A,
88,T88,AirPods Pro,Electronics,Accessories,4,1136.0,4544.0,3184.79,2023-09-14 12:29:00,"891 Street, São Paulo",São Paulo,In-Store,Corporate,Europe,Card,1.0,Rep_A,
89,T89,Samsung Galaxy S21,Electronics,Phones,3,67.0,201.0,157.91,2023-07-13 21:27:00,"222 Street, Nairobi",Nairobi,In-Store,Consumer,Africa,Cash,4.0,Rep_A,
90,T90,Dell XPS 13,Electronics,Laptops,5,104.0,520.0,337.65,2023-06-11 00:22:00,"800 Street, Bangkok",Bangkok,Wholesale,Corporate,Europe,Cash,8.0,Rep_D,
91,T91,Dell XPS 13,Electronics,Laptops,3,492.0,1476.0,1089.32,2023-09-06 14:36:00,"609 Street, Cairo",Cairo,In-Store,Consumer,Europe,Transfer,8.0,Rep_B,
92,T92,Logitech Mouse,Electronics,Accessories,3,1985.0,5955.0,4568.88,2023-08-11 22:47:00,"330 Street, Cairo",Cairo,In-Store,Corporate,Africa,Card,,Rep_D,
93,T93,Dell XPS 13,Electronics,Laptops,3,1697.0,5091.0,3732.81,2023-07-07 17:01:00,"709 Street, Jakarta",Jakarta,Online,Small Business,South America,Card,2.0,Rep_D,
94,T94,Dell XPS 13,Electronics,Laptops,4,1605.0,6420.0,4261.37,2023-08-10 08:33:00,"867 Street, São Paulo",São Paulo,Online,Consumer,Asia,Cash,6.0,Rep_B,
95,T95,AirPods Pro,Electronics,Accessories,1,763.0,763.0,682.23,2023-08-03 16:49:00,"526 Street, Jakarta",Jakarta,Wholesale,Corporate,Europe,Card,2.0,Rep_C,
96,T96,AirPods Pro,Electronics,Accessories,1,1831.0,1831.0,1224.36,2023-06-03 12:33:00,"75 Street, São Paulo",São Paulo,Wholesale,Small Business,Europe,Transfer,5.0,Rep_A,
97,T97,MacBook Air,Electronics,Laptops,1,983.0,983.0,650.84,2023-03-17 22:52:00,"981 Street, Jakarta",Jakarta,In-Store,Small Business,Europe,Transfer,6.0,Rep_D,
98,T98,iPhone 13,Electronics,Phones,2,317.0,634.0,442.35,2023-06-22 16:25:00,"702 Street, Bangkok",Bangkok,In-Store,Consumer,South America,Cash,2.0,Rep_B,
99,T99,Logitech Mouse,Electronics,Accessories,3,1778.0,5334.0,3953.89,2023-10-09 20:10:00,"512 Street, Cairo",Cairo,Wholesale,Small Business,Africa,Cash,7.0,Rep_B,
100,T100,Samsung Galaxy S21,Electronics,Phones,2,104.0,208.0,181.94,2023-03-10 23:32:00,"751 Street, Cairo",Cairo,In-Store,Corporate,Asia,Transfer,3.0,Rep_A,
101,T101,iPhone 13,Electronics,Phones,1,1007.0,1007.0,565.8,2023-07-20 01:52:00,"296 Street, Lagos",Lagos,Online,Small Business,South America,Transfer,9.0,Rep_B,
102,T102,27in 4K Gaming Monitor,Electronics,Monitors,2,74.0,148.0,122.49,2023-08-17 11:43:00,"102 Street, Cairo",Cairo,In-Store,Corporate,Asia,Transfer,3.0,Rep_B,
103,T103,Samsung Galaxy S21,Electronics,Phones,3,866.0,2598.0,2286.49,2023-11-07 16:46:00,"592 Street, São Paulo",São Paulo,Online,Corporate,South America,Cash,8.0,Rep_C,
104,T104,Samsung Galaxy S21,Electronics,Phones,1,1800.0,1800.0,1358.81,2023-07-19 17:24:00,"571 Street, Cairo",Cairo,In-Store,Consumer,Africa,Transfer,7.0,Rep_A,
105,T105,AirPods Pro,Electronics,Accessories,2,1030.0,2060.0,1287.79,2023-12-01 20:06:00,"688 Street, Cairo",Cairo,Wholesale,Small Business,Africa,Transfer,7.0,Rep_D,
106,T106,Dell XPS 13,Electronics,Laptops,4,984.0,3936.0,2790.52,2023-04-13 16:13:00,"995 Street, Mumbai",Mumbai,Wholesale,Consumer,Europe,Card,2.0,Rep_D,
107,T107,iPhone 13,Electronics,Phones,3,985.0,2955.0,1955.6,2023-02-08 14:55:00,"349 Street, São Paulo",São Paulo,Wholesale,Consumer,South America,Card,2.0,Rep_D,
108,T108,Logitech Mouse,Electronics,Accessories,5,1499.0,7495.0,4999.18,2023-08-15 09:33:00,"759 Street, São Paulo",São Paulo,Online,Small Business,Europe,Card,2.0,Rep_B,
109,T109,iPhone 13,Electronics,Phones,3,1964.0,5892.0,3772.56,2023-11-14 20:43:00,"440 Street, Jakarta",Jakarta,Wholesale,Small Business,Asia,Card,9.0,Rep_B,
110,T110,Samsung Galaxy S21,Electronics,Phones,1,1432.0,1432.0,1135.45,2023-06-26 02:44:00,"670 Street, Jakarta",Jakarta,Online,Small Business,Asia,Card,2.0,Rep_D,
112,T112,AirPods Pro,Electronics,Accessories,3,1453.0,4359.0,3712.33,2023-10-29 23:10:00,"226 Street, Jakarta",Jakarta,In-Store,Consumer,South America,Card,4.0,Rep_B,
113,T113,Samsung Galaxy S21,Electronics,Phones,4,1934.0,7736.0,5748.58,2023-11-26 10:33:00,"937 Street, Bangkok",Bangkok,In-Store,Small Business,Europe,Cash,3.0,Rep_C,
114,T114,MacBook Air,Electronics,Laptops,5,1846.0,9230.0,5413.67,2023-01-09 02:19:00,"573 Street, Cairo",Cairo,In-Store,Consumer,South America,Transfer,3.0,Rep_C,
115,T115,iPhone 13,Electronics,Phones,1,265.0,265.0,181.62,2023-09-26 23:46:00,"580 Street, Lagos",Lagos,Wholesale,Small Business,South America,Card,2.0,Rep_A,
116,T116,MacBook Air,Electronics,Laptops,3,684.0,2052.0,1755.48,2023-08-14 11:41:00,"40 Street, Mumbai",Mumbai,Wholesale,Consumer,Africa,Cash,2.0,Rep_D,
118,T118,AirPods Pro,Electronics,Accessories,5,164.0,820.0,524.08,2023-12-20 07:26:00,"289 Street, Mumbai",Mumbai,In-Store,Consumer,Africa,Card,3.0,Rep_C,
119,T119,MacBook Air,Electronics,Laptops,4,402.0,1608.0,907.17,2023-09-26 10:44:00,"170 Street, Mumbai",Mumbai,In-Store,Consumer,South America,Card,6.0,Rep_D,
120,T120,Logitech Mouse,Electronics,Accessories,5,1820.0,9100.0,6244.31,2023-01-31 22:41:00,"363 Street, Jakarta",Jakarta,Online,Corporate,Asia,Cash,7.0,Rep_D,
121,T121,AirPods Pro,Electronics,Accessories,4,1331.0,5324.0,3742.7,2023-10-22 01:31:00,"667 Street, Mumbai",Mumbai,Online,Small Business,Europe,Transfer,1.0,Rep_D,
123,T123,27in 4K Gaming Monitor,Electronics,Monitors,4,965.0,3860.0,2034.74,2023-08-07 16:11:00,"906 Street, Cairo",Cairo,Wholesale,Consumer,Africa,Transfer,6.0,Rep_A,
124,T124,27in 4K Gaming Monitor,Electronics,Monitors,3,259.0,777.0,691.06,2023-10-12 11:35:00,"948 Street, Jakarta",Jakarta,In-Store,Small Business,Europe,Cash,7.0,Rep_D,
125,T125,Samsung Galaxy S21,Electronics,Phones,1,1719.0,1719.0,1422.5,2023-02-27 22:25:00,"738 Street, Nairobi",Nairobi,In-Store,Corporate,Europe,Cash,1.0,Rep_C,
126,T126,27in 4K Gaming Monitor,Electronics,Monitors,1,88.0,88.0,73.07,2023-03-16 19:31:00,"974 Street, Cairo",Cairo,In-Store,Small Business,South America,Cash,3.0,Rep_C,
127,T127,27in 4K Gaming Monitor,Electronics,Monitors,4,1513.0,6052.0,5310.31,2023-12-23 19:05:00,"453 Street, Mumbai",Mumbai,Online,Corporate,Asia,Card,1.0,Rep_B,
129,T129,Logitech Mouse,Electronics,Accessories,5,569.0,2845.0,2383.86,2023-07-18 02:28:00,"693 Street, Lagos",Lagos,Online,Corporate,Africa,Cash,3.0,Rep_B,
130,T130,AirPods Pro,Electronics,Accessories,1,783.0,783.0,430.71,2023-08-24 19:35:00,"944 Street, Mumbai",Mumbai,Wholesale,Corporate,Asia,Transfer,6.0,Rep_C,
131,T131,iPhone 13,Electronics,Phones,5,435.0,2175.0,1357.51,2023-07-24 16:07:00,"990 Street, Bangkok",Bangkok,Online,Small Business,Africa,Card,6.0,Rep_D,
132,T132,Samsung Galaxy S21,Electronics,Phones,5,778.0,3890.0,3158.45,2023-09-24 21:50:00,"401 Street, Bangkok",Bangkok,Wholesale,Small Business,Asia,Cash,6.0,Rep_A,
133,T133,MacBook Air,Electronics,Laptops,4,722.0,2888.0,1455.29,2023-12-19 01:32:00,"973 Street, Jakarta",Jakarta,Online,Corporate,Europe,Card,,Rep_A,
134,T134,AirPods Pro,Electronics,Accessories,2,967.0,1934.0,1723.17,2023-03-31 13:57:00,"994 Street, Jakarta",Jakarta,Online,Consumer,Africa,Cash,,Rep_B,
135,T135,Dell XPS 13,Electronics,Laptops,3,366.0,1098.0,562.87,2023-09-19 08:38:00,"553 Street, São Paulo",São Paulo,Wholesale,Corporate,Europe,Card,8.0,Rep_C,
136,T136,Dell XPS 13,Electronics,Laptops,4,1391.0,5564.0,4144.64,2023-01-07 10:19:00,"390 Street, Cairo",Cairo,Wholesale,Corporate,Africa,Transfer,3.0,Rep_D,
137,T137,AirPods Pro,Electronics,Accessories,4,923.0,3692.0,2916.42,2023-01-12 22:11:00,"301 Street, Jakarta",Jakarta,Wholesale,Corporate,Europe,Cash,3.0,Rep_A,
138,T138,AirPods Pro,Electronics,Accessories,4,734.0,2936.0,2395.42,2023-07-02 18:43:00,"914 Street, Jakarta",Jakarta,Wholesale,Small Business,Asia,Transfer,5.0,Rep_A,
139,T139,iPhone 13,Electronics,Phones,1,1132.0,1132.0,656.35,2023-02-04 21:14:00,"332 Street, Bangkok",Bangkok,Online,Consumer,Asia,Transfer,5.0,Rep_A,
140,T140,Dell XPS 13,Electronics,Laptops,5,73.0,365.0,233.01,2023-12-30 19:59:00,"689 Street, Nairobi",Nairobi,In-Store,Corporate,South America,Cash,9.0,Rep_C,
141,T141,Dell XPS 13,Electronics,Laptops,5,915.0,4575.0,3885.86,2023-09-19 06:41:00,"186 Street, São Paulo",São Paulo,Wholesale,Small Business,Europe,Transfer,3.0,Rep_A,
142,T142,Logitech Mouse,Electronics,Accessories,5,960.0,4800.0,3889.92,2023-04-10 15:29:00,"940 Street, Jakarta",Jakarta,Wholesale,Consumer,Asia,Cash,2.0,Rep_A,
143,T143,iPhone 13,Electronics,Phones,5,1054.0,5270.0,2840.31,2023-04-21 13:55:00,"84 Street, São Paulo",São Paulo,In-Store,Corporate,Europe,Cash,6.0,Rep_D,
144,T144,Dell XPS 13,Electronics,Laptops,1,77.0,77.0,58.73,2023-06-13 12:22:00,"395 Street, Cairo",Cairo,Wholesale,Corporate,Asia,Cash,6.0,Rep_D,
145,T145,Dell XPS 13,Electronics,Laptops,2,1678.0,3356.0,2790.69,2023-09-14 04:19:00,"972 Street, Jakarta",Jakarta,In-Store,Small Business,Africa,Card,6.0,Rep_A,
146,T146,27in 4K Gaming Monitor,Electronics,Monitors,1,1180.0,1180.0,903.32,2023-06-14 16:48:00,"824 Street, Bangkok",Bangkok,In-Store,Consumer,Europe,Transfer,6.0,Rep_D,
147,T147,MacBook Air,Electronics,Laptops,5,1989.0,9945.0,5199.59,2023-10-20 19:25:00,"119 Street, Lagos",Lagos,Wholesale,Corporate,Africa,Cash,5.0,Rep_D,
148,T148,MacBook Air,Electronics,Laptops,5,1234.0,6170.0,3187.6,2023-10-03 20:49:00,"811 Street, Mumbai",Mumbai,Wholesale,Small Business,Europe,Cash,,Rep_D,
149,T149,27in 4K Gaming Monitor,Electronics,Monitors,5,1258.0,6290.0,3784.63,2023-06-27 22:43:00,"151 Street, Jakarta",Jakarta,In-Store,Corporate,Europe,Card,,Rep_A,
150,T150,27in 4K Gaming Monitor,Electronics,Monitors,2,795.0,1590.0,898.27,2023-12-07 00:54:00,"352 Street, Mumbai",Mumbai,Wholesale,Small Business,Europe,Cash,6.0,Rep_A,
